"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_il_6m","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit"
"1070078",1305201,6500,6500,6500," 60 months","14.65%",153.45,"C","C3","Southwest Rural metro","5 years","OWN",72000,"Not Verified","Dec-11","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=1070078","  Borrower added on 12/15/11 > I had recived a loan from Citi Financial about a year ago, I was paying 29.99 intrest, so the refinance is to cut that rate since cleaning up my credit I have been paying everything on time as shown on my credit report<br>","debt_consolidation","High intrest Consolidation","853xx","AZ",16.12,0,"Jan-98",2,NA,NA,14,0,4032,"20.60%",23,"f",0,0,7678.017673,7678.02,6500,1178.02,0,0,0,"Jun-13",1655.54,"","Dec-15",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"1069908",1305008,12000,12000,12000," 36 months","12.69%",402.54,"B","B5","UCLA","10+ years","OWN",75000,"Source Verified","Dec-11","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=1069908","","debt_consolidation","Consolidation","913xx","CA",10.78,0,"Oct-89",0,NA,NA,12,0,23336,"67.10%",34,"f",0,0,13947.98916,13947.99,12000,1947.99,0,0,0,"Sep-13",6315.3,"","Aug-13",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"1064687",1298717,9000,9000,9000," 36 months","13.49%",305.38,"C","C1","Va. Dept of Conservation/Recreation","< 1 year","RENT",30000,"Source Verified","Dec-11","Charged Off","n","https://lendingclub.com/browse/loanDetail.action?loan_id=1064687","  Borrower added on 12/15/11 > Plan to pay off 2 charge accounts. I will close one of them and ask for a credit line decrease from the other. Also borrowed money from a friend and would like to pay that off.......<br><br>  Borrower added on 12/17/11 > The credit card that I am asking to be decreased will be ONLY for emergency purposes.....<br>","debt_consolidation","freedom","245xx","VA",10.08,0,"Apr-04",1,NA,NA,4,0,10452,"91.70%",9,"f",0,0,2270.7,2270.7,1256.14,570.26,0,444.3,4.16,"Jul-12",305.38,"","Nov-12",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"1069866",1304956,3000,3000,3000," 36 months","9.91%",96.68,"B","B1","Target","3 years","RENT",15000,"Source Verified","Dec-11","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=1069866","  Borrower added on 12/19/11 > I intend to pay this debt off within half the time allotted.Home-brewer investing in equipment, hopefully someday a brewpub owner with delicious beers to sell and locally grown produced meat and vegetables.So, this is my start, and thank you for lending! One day I will repay the favor and lend back<br>","credit_card","citicard fund","606xx","IL",12.56,0,"Jul-03",2,NA,NA,11,0,7323,"43.10%",11,"f",0,0,3480.269999,3480.27,3000,480.27,0,0,0,"Jan-15",102.43,"","May-16",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"1069057",1303503,10000,10000,10000," 36 months","10.65%",325.74,"B","B2","SFMTA","3 years","RENT",1e+05,"Source Verified","Dec-11","Charged Off","n","https://lendingclub.com/browse/loanDetail.action?loan_id=1069057","","other","Other Loan","951xx","CA",7.06,0,"May-91",2,NA,NA,14,0,11997,"55.50%",29,"f",0,0,7471.99,7471.99,5433.47,1393.42,0,645.1,6.3145,"Oct-13",325.74,"","Mar-14",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"1069759",1304871,1000,1000,1000," 36 months","16.29%",35.31,"D","D1","Internal revenue Service","< 1 year","RENT",28000,"Not Verified","Dec-11","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=1069759","","debt_consolidation","Debt Consolidation Loan","641xx","MO",20.31,0,"Sep-07",1,NA,NA,11,0,6524,"81.50%",23,"f",0,0,1270.716942,1270.72,1000,270.72,0,0,0,"Jan-15",36.32,"","May-16",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"1065775",1299699,10000,10000,10000," 36 months","15.27%",347.98,"C","C4","Chin's Restaurant","4 years","RENT",42000,"Not Verified","Dec-11","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=1065775","","home_improvement","Home","921xx","CA",18.6,0,"Oct-98",2,61,NA,14,0,24043,"70.20%",28,"f",0,0,12527.15,12527.15,10000,2527.15,0,0,0,"Jan-15",370.46,"","Apr-15",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"1069971",1304884,3600,3600,3600," 36 months","6.03%",109.57,"A","A1","Duracell","10+ years","MORTGAGE",110000,"Not Verified","Dec-11","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=1069971","  Borrower added on 12/15/11 > Payoff other lending club acct and pull out money for purchase<br><br> Borrower added on 12/15/11 > payoff current lending club account and take money for purchase<br>","major_purchase","Holiday","067xx","CT",10.52,0,"Aug-93",0,NA,NA,20,0,22836,"16%",42,"f",0,0,3785.271965,3785.27,3600,185.27,0,0,0,"May-13",583.45,"","May-14",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"1062474",1294539,6000,6000,6000," 36 months","11.71%",198.46,"B","B3","Connection Inspection","1 year","MORTGAGE",84000,"Verified","Dec-11","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=1062474","  Borrower added on 12/16/11 > This is a loan i am really looking forward to it will help me and my whole family.  thank you<br><br> Borrower added on 12/18/11 > This loan is for a medical procedure I've been waiting 3 years for hope to get it!! Thanks.<br>","medical","Medical","890xx","UT",18.44,2,"Oct-03",0,8,NA,4,0,0,"37.73%",14,"f",0,0,7167.072893,7167.07,6000,1152.07,15.00000003,0,0,"Feb-15",16.98,"","Jul-15",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"1069742",1304855,9200,9200,9200," 36 months","6.03%",280.01,"A","A1","Network Interpreting Service","6 years","RENT",77385.19,"Not Verified","Dec-11","Fully Paid","n","https://lendingclub.com/browse/loanDetail.action?loan_id=1069742","","debt_consolidation","lowerratemeanseasiertogetoutofdebt!","921xx","CA",9.86,0,"Jan-01",0,NA,NA,8,0,7314,"23.10%",28,"f",0,0,9460.000848,9460,9200,260,0,0,0,"Jul-12",8061.1,"","Feb-16",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
